#insert.csv
#Raphael
#Harm
#12527184
group,number,problemType,left,right,bottom,top,numPointRQ,numPointNaive,durationInsert,PointAtInsertX,PointAtInsertY,durationRQNaive,durationRQ,durationRQNaive10,durationRQ10,durationRQNaive100,durationRQ100,numPoints
KDTree_1.txt,1,insert,0,0,0,0,0,0,69400,168,157,0,0,0,0,0,0,10
KDTree_2.txt,2,insert,0,0,0,0,0,0,132300,880491,673242,0,0,0,0,0,0,80
KDTree_3.txt,3,insert,0,0,0,0,0,0,206700,618979,201423,0,0,0,0,0,0,160
KDTree_4.txt,4,insert,0,0,0,0,0,0,145000,380215,278139,0,0,0,0,0,0,240
KDTree_5.txt,5,insert,0,0,0,0,0,0,183900,711726,76124,0,0,0,0,0,0,320
KDTree_6.txt,6,insert,0,0,0,0,0,0,188900,21481,544091,0,0,0,0,0,0,400
KDTree_7.txt,7,insert,0,0,0,0,0,0,234300,945446,839055,0,0,0,0,0,0,480
KDTree_8.txt,8,insert,0,0,0,0,0,0,121100,967513,103995,0,0,0,0,0,0,560
KDTree_9.txt,9,insert,0,0,0,0,0,0,125200,37241,573428,0,0,0,0,0,0,640
KDTree_10.txt,10,insert,0,0,0,0,0,0,115200,223864,943935,0,0,0,0,0,0,720
KDTree_11.txt,11,insert,0,0,0,0,0,0,108700,587187,993538,0,0,0,0,0,0,800
KDTree_12.txt,12,insert,0,0,0,0,0,0,120800,279738,803627,0,0,0,0,0,0,880
KDTree_13.txt,13,insert,0,0,0,0,0,0,187600,231206,123339,0,0,0,0,0,0,960
KDTree_14.txt,14,insert,0,0,0,0,0,0,209600,923419,301444,0,0,0,0,0,0,1040
KDTree_15.txt,15,insert,0,0,0,0,0,0,157100,17716,865256,0,0,0,0,0,0,1120
KDTree_16.txt,16,insert,0,0,0,0,0,0,184700,800551,717718,0,0,0,0,0,0,1200
KDTree_17.txt,17,insert,0,0,0,0,0,0,193800,374905,736496,0,0,0,0,0,0,1280
KDTree_18.txt,18,insert,0,0,0,0,0,0,206400,981987,517273,0,0,0,0,0,0,1360
KDTree_19.txt,19,insert,0,0,0,0,0,0,242300,800528,869333,0,0,0,0,0,0,1440
KDTree_20.txt,20,insert,0,0,0,0,0,0,215200,994541,307975,0,0,0,0,0,0,1520
KDTree_21.txt,21,insert,0,0,0,0,0,0,248500,971392,169869,0,0,0,0,0,0,1600
KDTree_22.txt,22,insert,0,0,0,0,0,0,207600,281874,899172,0,0,0,0,0,0,1680
KDTree_23.txt,23,insert,0,0,0,0,0,0,224700,589360,982138,0,0,0,0,0,0,1760
KDTree_24.txt,24,insert,0,0,0,0,0,0,288300,567069,584855,0,0,0,0,0,0,1840
KDTree_25.txt,25,insert,0,0,0,0,0,0,309000,110926,478716,0,0,0,0,0,0,1920
KDTree_26.txt,26,insert,0,0,0,0,0,0,380200,831651,600459,0,0,0,0,0,0,2000
